strain1 strain2 Pearson.Correlation.Coefficient.x pcc_TF
1381 1653 0.905554496323979 1
1377 2234 0.905553579657906 0
2234 3562 0.9055087619197 0
1759 1767 0.905475224369859 0
1649 1774 0.905445680404115 0
1856 3107 0.905413709652987 0
1649 2886 0.905215570243515 0
1286 2886 0.905176650444924 0
311 1767 0.904935103054575 0
1314 2147 0.904684647402387 0
859 1561 0.904597117635812 0
1381 2234 0.904560696177217 0
456 1767 0.90441093555055 1
859 1461 0.904401990673859 0
1561 3107 0.904369160912743 0
1774 1848 0.904332884556402 0
3061 3671 0.904294352649277 0
859 1856 0.904235803290122 0
1322 3002 0.904228650226296 0
1381 1848 0.903965815532763 0
456 1286 0.903936749860161 0
2234 3671 0.903722335972915 1
859 1848 0.903324621243999 0
1377 2886 0.903260521796028 1
1381 3061 0.902981967643931 0
3107 3671 0.902946120597987 1
1322 1593 0.902793023822943 0
1561 3562 0.902792447468906 1
88 92 0.902692835766306 1
1848 3061 0.902536751772894 0
311 1314 0.902392424888628 0
456 1314 0.902259557035851 0
2886 3562 0.902047966382457 0
456 3002 0.901907328831396 0
1286 1381 0.90183417273889 1
1417 1848 0.901774334515916 0
1767 3061 0.90150131825842 0
1322 3061 0.901201718889732 0
1649 1848 0.901148341159987 0
527 530 0.901136806633841 1
1314 1739 0.900902568391942 0
2147 3562 0.900890147465399 0
1685 3002 0.900863746844564 1
1417 1653 0.900661537335161 0
1203 1377 0.900308488774175 0
1685 2886 0.900290228985435 0
1377 2147 0.899840161784602 0
1649 1685 0.899776735073256 1
1767 2886 0.89953565090716 0
1593 2886 0.899248946260524 0
1653 1759 0.899091713971208 0
1377 1856 0.898785298515183 1
3538 3562 0.898654178666283 0
146 3219 0.89832721562672 1
1417 2886 0.898166746251799 0
1461 2234 0.897679432596676 0
2217 2307 0.897425298371851 1
1477 1581 0.896963845174722 1
1774 2886 0.896938828879244 1
1381 3107 0.896161637536768 0
1561 3061 0.896086021198576 1
456 1377 0.895855387205743 0
2170 2342 0.895733316468965 1
1322 1381 0.895676057964219 0
1417 3671 0.89563504740107 1
859 1286 0.895446426099181 0
1739 3562 0.895082089403656 1
1286 3061 0.895057216519707 0
1593 2234 0.895055012090543 0
1203 1381 0.895031947415214 0
1585 1649 0.894540022686842 0
1286 1417 0.89452759492193 0
1461 1653 0.894500043873122 0
1203 1314 0.894392545455221 0
1649 1739 0.89427391753429 1
456 1322 0.8941668302558 1
1739 1767 0.893746299197079 0
1381 1561 0.893656484014823 0
1203 1585 0.893655762342014 1
1848 2886 0.89339369515352 0
1203 1417 0.893351651092905 0
