OMP_ST:71026_!_Escherichia coli K-12 BW25113 ispU::SPA-kan
OMP_ST:71027_!_Escherichia coli K-12 BW25113 bamA+-kan
OMP_ST:71028_!_Escherichia coli K-12 BW25113 bamA6-kan
OMP_ST:71029_!_Escherichia coli K-12 BW25113 bamA66-kan
OMP_ST:71030_!_Escherichia coli K-12 BW25113 fabZ(F101Y)-kan
OMP_ST:71031_!_Escherichia coli K-12 BW25113 fabZ+-kan
OMP_ST:71032_!_Escherichia coli K-12 BW25113 lpxA::SPA-kan
OMP_ST:71033_!_Escherichia coli K-12 BW25113 lpxB::SPA-kan
OMP_ST:71034_!_Escherichia coli K-12 BW25113 dnaE::SPA-kan
OMP_ST:71035_!_Escherichia coli K-12 BW25113 ribD::SPA-kan
OMP_ST:71036_!_Escherichia coli K-12 BW25113 ribE::SPA-kan
OMP_ST:71037_!_Escherichia coli K-12 BW25113 ispA::SPA-kan
OMP_ST:71038_!_Escherichia coli K-12 BW25113 dnaX::SPA-kan
OMP_ST:71039_!_Escherichia coli K-12 BW25113 adk::SPA-kan
OMP_ST:71040_!_Escherichia coli K-12 BW25113 lpxH::SPA-kan
OMP_ST:71041_!_Escherichia coli K-12 BW25113 cysS::SPA-kan
OMP_ST:71042_!_Escherichia coli K-12 BW25113 holA::SPA-kan
OMP_ST:71043_!_Escherichia coli K-12 BW25113 fldAx::SPA-kan
OMP_ST:71044_!_Escherichia coli K-12 BW25113 cydA::SPA-kan
OMP_ST:71045_!_Escherichia coli K-12 BW25113 infA::SPA-kan
OMP_ST:71046_!_Escherichia coli K-12 BW25113 cydC::SPA-kan
OMP_ST:71047_!_Escherichia coli K-12 BW25113 ftsK::SPA-kan
OMP_ST:71048_!_Escherichia coli K-12 BW25113 lolA::SPA
OMP_ST:71049_!_Escherichia coli K-12 BW25113 lolA::DAS+4-kan
OMP_ST:71050_!_Escherichia coli K-12 BW25113 lolA::DAS-kan
OMP_ST:71051_!_Escherichia coli K-12 BW25113 serS::SPA-kan
OMP_ST:71052_!_Escherichia coli K-12 BW25113 msbA(P18S)-kan
OMP_ST:71053_!_Escherichia coli K-12 BW25113 msbA+-kan
OMP_ST:71054_!_Escherichia coli K-12 BW25113 kdsB::SPA-kan
OMP_ST:71055_!_Escherichia coli K-12 BW25113 mukE::SPA-kan
OMP_ST:71056_!_Escherichia coli K-12 BW25113 mukB::SPA-kan
OMP_ST:71057_!_Escherichia coli K-12 BW25113 rne::SPA-kan
OMP_ST:71058_!_Escherichia coli K-12 BW25113 acpP::SPA-kan
OMP_ST:71059_!_Escherichia coli K-12 BW25113 holB::SPA-kan
OMP_ST:71060_!_Escherichia coli K-12 BW25113 purB::SPA-kan
OMP_ST:71061_!_Escherichia coli K-12 BW25113 ispE::SPA-kan
OMP_ST:71062_!_Escherichia coli K-12 BW25113 lolB::SPA-kan
OMP_ST:71063_!_Escherichia coli K-12 BW25113 prfA::SPA-kan
OMP_ST:71064_!_Escherichia coli K-12 BW25113 kdsA::SPA-kan
OMP_ST:71065_!_Escherichia coli K-12 BW25113 topA::SPA-kan
OMP_ST:71066_!_Escherichia coli K-12 BW25113 fabI::SPA-kan
OMP_ST:71067_!_Escherichia coli K-12 BW25113 tyrS::SPA-kan
OMP_ST:71068_!_Escherichia coli K-12 BW25113 pheT::SPA-kan
OMP_ST:71069_!_Escherichia coli K-12 BW25113 pheS::SPA-kan
OMP_ST:71070_!_Escherichia coli K-12 BW25113 infC::SPA-kan
OMP_ST:71071_!_Escherichia coli K-12 BW25113 nadE::SPA-kan
OMP_ST:71072_!_Escherichia coli K-12 BW25113 gapA::SPA-kan
OMP_ST:71073_!_Escherichia coli K-12 BW25113 aspS::SPA-kan
OMP_ST:71074_!_Escherichia coli K-12 BW25113 yefM::SPA-kan
OMP_ST:71075_!_Escherichia coli K-12 BW25113 hisA::SPA-kan
OMP_ST:71076_!_Escherichia coli K-12 BW25113 yejM::SPA-kan
OMP_ST:71077_!_Escherichia coli K-12 BW25113 folC::SPA-kan
OMP_ST:71078_!_Escherichia coli K-12 BW25113 accD::SPA-kan
OMP_ST:71079_!_Escherichia coli K-12 BW25113 gltX::SPA-kan
OMP_ST:71080_!_Escherichia coli K-12 BW25113 ligA::SPA-kan
OMP_ST:71081_!_Escherichia coli K-12 BW25113 der::SPA-kan
OMP_ST:71082_!_Escherichia coli K-12 BW25113 ispG::SPA-kan
OMP_ST:71083_!_Escherichia coli K-12 BW25113 acpS::SPA-kan
OMP_ST:71084_!_Escherichia coli K-12 BW25113 era::SPA-kan
OMP_ST:71085_!_Escherichia coli K-12 BW25113 rnc::SPA-kan
OMP_ST:71086_!_Escherichia coli K-12 BW25113 bamD::DAS-kan
OMP_ST:71087_!_Escherichia coli K-12 BW25113 nadK::SPA-kan
OMP_ST:71088_!_Escherichia coli K-12 BW25113 ispF::SPA-kan
OMP_ST:71089_!_Escherichia coli K-12 BW25113 eno::SPA-kan
OMP_ST:71090_!_Escherichia coli K-12 BW25113 fbaA::SPA-kan
OMP_ST:71091_!_Escherichia coli K-12 BW25113 pgk::SPA-kan
OMP_ST:71092_!_Escherichia coli K-12 BW25113 metK::SPA-kan
OMP_ST:71093_!_Escherichia coli K-12 BW25113 yqgF::SPA-kan
OMP_ST:71094_!_Escherichia coli K-12 BW25113 plsC::SPA-kan
OMP_ST:71095_!_Escherichia coli K-12 BW25113 ygiT::SPA-kan
OMP_ST:71096_!_Escherichia coli K-12 BW25113 parE::SPA-kan
