,Annotation,accuracy,precision,sensitivity,specificity
81,ECK120026841,0.996984924623,0.0,0.0,0.998992950655
82,ECK120026929,0.994974874372,0.0,0.0,0.996978851964
83,ECK120027090,0.994974874372,0.0,0.0,0.996978851964
84,ECK120027324,0.995979899497,0.0,0.0,0.997985901309
85,ECK120027484,0.994974874372,0.0,0.0,0.996978851964
86,ECK120027602,0.996984924623,0.0,0.0,0.998992950655
87,ECK120033765,0.995979899497,0.0,0.0,0.997985901309
88,ECK120033766,0.995979899497,0.0,0.0,0.997985901309
89,ECK120034535,0.995979899497,0.0,0.0,0.997985901309
90,ECK120049214,0.994974874372,0.0,0.0,0.996978851964
92,ECK125140826,0.996984924623,0.0,0.0,0.998992950655
93,ECK125140827,0.996984924623,0.0,0.0,0.998992950655
94,ECK120008953,0.997989949749,0.0,0.0,0.998993963783
95,ECK120008996,0.994974874372,0.0,0.0,0.995975855131
98,ECK120009030,0.995979899497,0.0,0.0,0.996981891348
99,ECK120009031,0.995979899497,0.0,0.0,0.996981891348
100,ECK120009080,0.997989949749,0.0,0.0,0.998993963783
102,ECK120009108,0.995979899497,0.0,0.0,0.996981891348
103,ECK120009109,0.995979899497,0.0,0.0,0.996981891348
104,ECK120009145,0.994974874372,0.0,0.0,0.995975855131
105,ECK120009260,0.991959798995,0.0,0.0,0.992957746479
106,ECK120009294,0.993969849246,0.0,0.0,0.994969818913
107,ECK120009320,0.996984924623,0.0,0.0,0.997987927565
110,ECK120009345,0.995979899497,0.0,0.0,0.996981891348
111,ECK120009357,0.995979899497,0.0,0.0,0.996981891348
113,ECK120009375,0.997989949749,0.0,0.0,0.998993963783
114,ECK120009393,0.994974874372,0.0,0.0,0.995975855131
117,ECK120009514,0.997989949749,0.0,0.0,0.998993963783
118,ECK120009519,0.996984924623,0.0,0.0,0.997987927565
119,ECK120009550,0.995979899497,0.0,0.0,0.996981891348
120,ECK120009641,0.997989949749,0.0,0.0,0.998993963783
122,ECK120009771,0.995979899497,0.0,0.0,0.996981891348
