,Annotation,accuracy,precision,sensitivity,specificity
141,ECK120001611,0.997989949749,0.0,0.0,0.998993963783
142,ECK120002026,0.995979899497,0.0,0.0,0.996981891348
143,ECK120002359,0.996984924623,0.0,0.0,0.997987927565
144,ECK120003020,0.995979899497,0.0,0.0,0.996981891348
146,ECK120003223,0.994974874372,0.0,0.0,0.995975855131
149,ECK120003456,0.997989949749,0.0,0.0,0.998993963783
150,ECK120004133,0.996984924623,0.0,0.0,0.997987927565
108,ECK120000596,0.997989949749,,0.0,1.0
112,ECK120001473,0.997989949749,,0.0,1.0
119,ECK120000083,0.998994974874,,0.0,1.0
127,ECK120002058,0.998994974874,,0.0,1.0
128,ECK120002251,0.998994974874,,0.0,1.0
129,ECK120002268,0.998994974874,,0.0,1.0
131,ECK120004457,0.998994974874,,0.0,1.0
136,ECK120000510,0.998994974874,,0.0,1.0
140,ECK120001385,0.998994974874,,0.0,1.0
145,ECK120003197,0.998994974874,,0.0,1.0
147,ECK120003334,0.998994974874,,0.0,1.0
148,ECK120003350,0.998994974874,,0.0,1.0
